STN,WBAN,YEAR,TEMP,STP,PRCP,ANOPHELES
637290,99999,20150517,73.8,887.9,0.00G,2.816901517
637290,99999,20150518,74.2,887.4,0.00I,2.816901518
637290,99999,20150519,72.9,888.4,2.76G,2.816901519
637290,99999,20150520,73.2,889.2,0.00G,2.816901520
637290,99999,20150521,71.8,889.8,0.16E,2.816901521
637290,99999,20150522,73.7,889.4,0.00I,2.816901522
637290,99999,20150523,74,889,0.00I,2.816901523
637290,99999,20150524,72.3,888.4,0.20E,2.816901524
637290,99999,20150525,71.8,888.1,0.00I,2.816901525
637290,99999,20150526,70.3,888.7,0.20G,2.816901526
637290,99999,20150527,72.5,888.6,1.42G,2.816901527
637290,99999,20150528,72.4,888,0.00G,2.816901528
637290,99999,20150529,70.9,887.4,0.47G,2.816901529
637290,99999,20150530,71.3,887.3,0.00G,2.816901530
637290,99999,20150531,71.1,887,0.79G,2.816901531
637290,99999,20150601,69.8,887.2,0.01G,2.816901532
637290,99999,20150602,69.6,888.1,0.39G,2.816901533
637290,99999,20150603,72.2,887.4,0.20G,2.816901534
637290,99999,20150604,72.2,887.1,0.00G,2.816901535
637290,99999,20150605,71.9,886.8,0.00I,2.816901536
637290,99999,20150606,70.6,887.5,0.00I,2.816901537
637290,99999,20150607,70.8,887.8,0.00I,2.816901538
637290,99999,20150608,72.2,887.8,0.00I,2.816901539
637290,99999,20150609,72.3,887.8,0.00I,2.816901540
637290,99999,20150610,74.1,887.9,0.00I,2.816901541
637290,99999,20150611,74.5,888.2,0.00I,2.816901542
637290,99999,20150612,72.4,888,0.02E,2.816901543
637290,99999,20150613,69.2,888.2,0.24E,2.816901544
637290,99999,20150614,69.6,888.8,0.00I,2.816901545
637290,99999,20150615,72.4,887.7,0.00I,2.816901546
637290,99999,20150616,71.2,887.1,0.00I,2.816901547
637290,99999,20150617,72,886,0.00I,2.816901548
637290,99999,20150618,71.6,887.4,0.02G,2.816901549
637290,99999,20150619,70,889.1,0.00G,2.816901550
637290,99999,20150620,71.9,889.3,0.12G,2.816901551
637290,99999,20150621,71.4,889.7,0.00G,2.816901552
637290,99999,20150622,74.6,888.6,0.00I,2.816901553
637290,99999,20150623,73.7,890.6,0.00I,2.816901554
637290,99999,20150624,70.3,890.8,0.02G,2.816901555
637290,99999,20150625,72.3,890.7,0.02G,2.816901556
637290,99999,20150626,69.7,890.2,0.00G,2.816901557
637290,99999,20150627,71.9,890.3,0.02E,2.816901558
637290,99999,20150628,73.7,890,0.00I,2.816901559
637290,99999,20150629,69.7,889.9,0.08E,2.816901560
637290,99999,20150630,71.6,888.5,0.04E,2.816901561
637290,99999,20150701,74.2,888.9,0.00I,2.816901562
637290,99999,20150702,70.2,889.4,0.43G,2.816901563
637290,99999,20150703,68.7,889.7,0.02G,2.816901564
637290,99999,20150704,69,890,0.39G,2.816901565
637290,99999,20150705,70.7,890.1,0.67G,2.816901566
637290,99999,20150706,72.1,890.5,0.00G,2.816901567
637290,99999,20150707,72.7,890.1,0.00I,2.816901568
637290,99999,20150708,73.2,889.2,0.00I,2.816901569
637290,99999,20150709,71.6,888.9,0.00I,2.816901570
637290,99999,20150710,72,889,0.00I,2.816901571
637290,99999,20150711,72.6,889.3,0.00I,2.816901572
637290,99999,20150712,71.6,889.1,0.00I,2.816901573
637290,99999,20150713,69.9,889.1,0.00I,2.816901574
637290,99999,20150714,72.7,888.2,0.00I,2.816901575
637290,99999,20150715,73.3,888.6,0.00I,2.816901576
637290,99999,20150716,73.3,888.3,0.00I,2.816901577
637290,99999,20150717,72.3,888.7,0.00I,2.816901578
637290,99999,20150718,72.1,888.1,0.00I,2.816901579
637290,99999,20150719,73.9,888,0.00I,2.816901580
637290,99999,20150720,73.6,887.9,0.01E,2.816901581
637290,99999,20150721,71.6,888.5,0.00I,2.816901582
637290,99999,20150722,71.4,889.4,0.00I,2.816901583
637290,99999,20150723,71.7,889.1,0.00I,2.816901584
637290,99999,20150724,71.2,888.8,0.00I,2.816901585
637290,99999,20150725,72.6,888.4,0.00I,2.816901586
637290,99999,20150726,73.1,888.2,0.00I,2.816901587
637290,99999,20150727,72.6,887.5,0.00I,2.816901588
637290,99999,20150728,71.4,887.6,0.00I,2.816901589
637290,99999,20150729,72,888.2,0.00I,2.816901590
637290,99999,20150730,70.2,889,0.12E,2.816901591
637290,99999,20150731,69.5,888.7,0.00I,2.816901592
637290,99999,20150801,71.8,888,0.00I,2.816901593
637290,99999,20150802,69.1,888.6,0.31G,2.816901594
637290,99999,20150803,67.5,889.2,2.60G,2.816901595
637290,99999,20150804,71.1,888.1,0.00G,2.816901596
637290,99999,20150805,72,888.4,0.00I,2.816901597
637290,99999,20150806,67.1,888.1,0.04A,2.816901598
637290,99999,20150807,71.6,887.8,0.00I,2.816901599
637290,99999,20150808,72.4,888.2,0.00I,2.816901600
637290,99999,20150809,72.3,888.4,0.00I,2.816901601
637290,99999,20150810,71.3,887.6,0.00I,2.816901602
637290,99999,20150811,71.6,887.7,0.00E,2.816901603
637290,99999,20150812,72.8,888.6,0.00G,2.816901604
637290,99999,20150813,71.8,888.4,0.00E,2.816901605
637290,99999,20150814,72.4,888.3,0.00G,2.816901606
637290,99999,20150815,71.3,888.5,0.00I,2.816901607
637290,99999,20150816,70.8,888.9,0.00I,2.816901608
637290,99999,20150817,73.9,888.8,0.00I,2.816901609
637290,99999,20150818,73.6,888,0.00I,2.816901610
637290,99999,20150819,75.1,887.3,0.00I,2.816901611
637290,99999,20150820,75.4,887.2,0.00I,2.816901612
637290,99999,20150821,73.4,887.4,0.04G,2.816901613
637290,99999,20150822,73.6,886.9,0.12G,2.816901614
637290,99999,20150823,73.5,888.1,0.00G,2.816901615
637290,99999,20150824,72.8,888.8,0.00I,2.816901616
637290,99999,20150825,73.3,888.5,0.00I,2.816901617
637290,99999,20150826,72.9,888.2,0.00I,2.816901618
637290,99999,20150827,72.1,888.1,0.00I,2.816901619
637290,99999,20150828,72.2,887.7,0.04G,2.816901620
637290,99999,20150829,72,887.8,0.04G,2.816901621
637290,99999,20150830,73.9,887.5,0.04G,2.816901622
637290,99999,20150831,74.2,887.8,0.00G,2.816901623
637290,99999,20150901,73.6,888.1,0.00I,2.816901624
637290,99999,20150902,72.9,888.2,0.00I,2.816901625
637290,99999,20150903,74,888.1,0.00I,2.816901626
637290,99999,20150904,71,890.3,0.04G,2.816901627
637290,99999,20150906,68.8,890,0.55G,2.816901628
637290,99999,20150907,72,887.4,0.59G,2.816901629
637290,99999,20150908,72.2,887.4,0.00G,2.816901630
637290,99999,20150909,70.2,887.4,0.00I,2.816901631
637290,99999,20150910,72.1,887,0.00I,2.816901632
637290,99999,20150911,71.2,887.6,0.12G,2.816901633
637290,99999,20150912,70.6,888.1,0.00G,2.816901634
637290,99999,20150913,71.2,888.7,0.63G,2.816901635
637290,99999,20150914,72.5,888.8,0.08G,2.816901636
637290,99999,20150915,71.1,887.7,0.00G,2.816901637
637290,99999,20150916,70.9,887.6,0.08E,2.816901638
637290,99999,20150917,71.7,887.5,0.02E,2.816901639
637290,99999,20150918,68.4,887.9,0.00E,2.816901640
637290,99999,20150919,70.2,888.5,0.00G,2.816901641
637290,99999,20150920,73,887.9,0.00I,2.816901642
637290,99999,20150921,74.7,887.8,0.00I,2.816901643
637290,99999,20150922,72.2,887.8,0.00I,2.816901644
637290,99999,20150923,72,888.1,0.00I,2.816901645
637290,99999,20150924,72.8,887.5,0.00E,2.816901646
637290,99999,20150925,71.4,887.3,0.00G,2.816901647
637290,99999,20150926,71.3,886.9,0.04G,2.816901648
637290,99999,20150927,71.8,887,0.00G,2.816901649
637290,99999,20150928,70.4,887.4,0.47E,2.816901650
637290,99999,20150929,75.6,885.9,0.00I,2.816901651
637290,99999,20150930,74.3,884.8,0.00I,2.816901652
637290,99999,20151001,72.8,885.5,0.00I,2.816901653
637290,99999,20151002,72,885.9,0.00A,2.816901654
637290,99999,20151003,71.8,887.7,0.43G,2.816901655
637290,99999,20151004,74.1,887.7,0.04G,2.816901656
637290,99999,20151005,73.9,887.7,0.02G,2.816901657
637290,99999,20151006,73.5,887.7,0.00G,2.816901658
637290,99999,20151007,73.8,887.5,0.00A,2.816901659
637290,99999,20151008,74.9,887.5,0.00I,2.816901660
637290,99999,20151009,71.8,887,0.00G,2.816901661
637290,99999,20151010,74.5,886.6,0.08G,2.816901662
637290,99999,20151011,72.7,887.6,0.08G,2.816901663
637290,99999,20151012,72.8,888.1,0.12G,2.816901664
637290,99999,20151013,70.6,887.3,0.00G,2.816901665
637290,99999,20151014,72.5,887,0.00E,2.816901666
637290,99999,20151015,74.3,886.5,0.00I,2.816901667
637290,99999,20151016,72.5,885.8,0.04E,2.816901668
637290,99999,20151017,72.9,887.4,0.08E,2.816901669
637290,99999,20151018,69.8,888.5,1.46E,2.816901670
637290,99999,20151019,68.6,888.9,0.28E,2.816901671
637290,99999,20151020,70.9,888.4,0.28E,2.816901672
637290,99999,20151021,70.7,886.9,0.04E,2.816901673
637290,99999,20151022,70.4,887.2,0.12G,2.816901674
637290,99999,20151023,69.8,887.8,1.89G,2.816901675
637290,99999,20151024,70.5,887.7,0.67G,2.816901676
637290,99999,20151025,71.3,888.2,0.20G,2.816901677
637290,99999,20151026,72.7,888.5,0.03G,2.816901678
637290,99999,20151027,71.9,888,0.00G,2.816901679
637290,99999,20151028,73.6,886.1,0.00I,2.816901680
637290,99999,20151029,70,886.8,0.24G,2.816901681
637290,99999,20151030,70.3,887.3,0.02G,2.816901682
637290,99999,20151031,68.2,887.2,0.00G,2.816901683
637290,99999,20151101,69.9,886.7,0.12G,2.816901684
637290,99999,20151102,68.8,887,0.12G,2.816901685
637290,99999,20151103,72.2,887.1,0.00G,2.816901686
637290,99999,20151104,70.6,886.9,0.43E,2.816901687
637290,99999,20151105,67.7,888,0.24E,2.816901688
637290,99999,20151106,71.5,887.8,0.24E,2.816901689
637290,99999,20151107,69.2,886.9,0.12E,2.816901690
637290,99999,20151108,69.8,888.2,1.18G,2.816901691
637290,99999,20151109,68.8,889.2,1.18G,2.816901692
637290,99999,20151110,68,888.9,0.03G,2.816901693
637290,99999,20151111,70.6,887.8,1.54G,2.816901694
637290,99999,20151112,70.1,887.5,0.12G,2.816901695
637290,99999,20151113,72.2,888.4,0.28G,2.816901696
637290,99999,20151114,72.5,886.9,0.00G,2.816901697
637290,99999,20151115,71,885.7,0.51G,2.816901698
637290,99999,20151116,70.6,887,0.16G,2.816901699
637290,99999,20151117,68.7,886.5,1.97G,2.816901700
637290,99999,20151118,72.7,886.3,2.01G,2.816901701
637290,99999,20151119,70.3,886.4,0.02G,2.816901702
637290,99999,20151120,73.1,885.6,0.16G,2.816901703
637290,99999,20151121,72.5,885.2,0.00G,2.816901704
637290,99999,20151122,72.2,886.3,0.00I,2.816901705
637290,99999,20151123,74.9,886.7,0.00I,2.816901706
637290,99999,20151124,72.6,886.4,0.00I,2.816901707
637290,99999,20151125,73.9,885.5,0.00I,2.816901708
637290,99999,20151126,71.4,886.1,0.51A,2.816901709
637290,99999,20151127,70.4,888.5,0.04E,2.816901710
637290,99999,20151128,69.9,888.3,0.79E,2.816901711
637290,99999,20151129,69.3,888.3,0.31E,2.816901712
637290,99999,20151130,69.9,889.4,1.46G,2.816901713
637290,99999,20151201,72.6,888.6,0.16G,2.816901714
637290,99999,20151202,68.4,888.4,0.01G,2.816901715
637290,99999,20151203,71.9,888.3,0.59G,2.816901716
637290,99999,20151204,71,888.3,0.00G,2.816901717
637290,99999,20151205,72.7,887.9,99.99,1.243339254
637290,99999,20151206,70.1,888.4,0.04A,1.243339255
637290,99999,20151207,72.8,888.2,0.00I,1.243339256
637290,99999,20151208,69.9,888.5,0.01G,1.243339257
637290,99999,20151209,71.1,888.3,0.01G,1.243339258
637290,99999,20151210,69,888.8,0.00G,1.243339259
637290,99999,20151211,72.2,888.6,0.51G,1.243339260
637290,99999,20151212,71.8,887,0.00G,1.243339261
637290,99999,20151213,71.8,887.1,0.08G,1.243339262
637290,99999,20151214,71,887.9,0.00G,1.243339263
637290,99999,20151215,67.7,888.7,0.39G,1.243339264
637290,99999,20151216,71,888,0.04G,1.243339265
637290,99999,20151217,66.9,888.3,0.01G,1.243339266
637290,99999,20151218,69.3,888.5,0.12G,1.243339267
637290,99999,20151219,69.9,888.4,0.08G,1.243339268
637290,99999,20151220,69,888.7,0.00G,1.243339269
637290,99999,20151221,68.4,888.2,0.20G,1.243339270
637290,99999,20151222,70.5,888.5,0.39G,1.243339271
637290,99999,20151223,70.4,888,0.00G,1.243339272
637290,99999,20151224,70.2,888.7,0.91G,1.243339273
637290,99999,20151225,72.9,888.8,0.00G,1.243339274
637290,99999,20151226,71.2,888.3,0.00A,1.243339275
637290,99999,20151227,70.7,887.7,0.00G,1.243339276
637290,99999,20151228,72,887.6,0.08G,1.243339277
637290,99999,20151229,72,888.2,0.02G,1.243339278
637290,99999,20151230,73.3,887.5,0.00G,1.243339279
637290,99999,20151231,73.3,887.5,0.00I,1.243339280
